Modelo,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std
XGBoost,0.7074059667390075,0.011485048395377907,0.7019622482983678,0.011313540377438994,0.7039863427702764,0.014469067603972199,0.7001762190800025,0.01503010334018332
Random Forest,0.6985415208978176,0.010585196413683821,0.6884772845842799,0.012061349274909252,0.7004764019979202,0.011553332687726507,0.6770537933647556,0.016962963990931085
SVM,0.6918147678174006,0.005142109168272197,0.6844175633096995,0.004975064701658351,0.6900117212318978,0.008614108361230515,0.6791012990236908,0.010861609700029019
Logit,0.6710677197601287,0.010391753594061299,0.6524382873722291,0.013315140090160056,0.6795672889952407,0.010914531107165558,0.6276183803523074,0.019482239721268363
KNN,0.653462361000755,0.01074469372528561,0.648352575829881,0.01130704058641417,0.6476081888138907,0.01150759256225229,0.649202032970443,0.014025399230348021
